"gene","ensmble_gene_gps","trait_exwas_ei","trait_gps","gene_trait_pair_exwas_ei","gene_trait_pair_gps","gene_tait_pair_merged","source"
"ADD1","ENSG00000087274","Hypertension",NA,"ENSG00000087274_Hypertension",NA,"ENSG00000087274_Hypertension","ExWAS, EI"
"CYP3A5","ENSG00000106258","Hypertension",NA,"ENSG00000106258_Hypertension",NA,"ENSG00000106258_Hypertension","ExWAS, EI"
"ECE1","ENSG00000117298","Hypertension",NA,"ENSG00000117298_Hypertension",NA,"ENSG00000117298_Hypertension","ExWAS, EI"
"AGT","ENSG00000135744","Hypertension",NA,"ENSG00000135744_Hypertension",NA,"ENSG00000135744_Hypertension","ExWAS, EI"
"AGTR1","ENSG00000144891","Hypertension",NA,"ENSG00000144891_Hypertension",NA,"ENSG00000144891_Hypertension","ExWAS, EI"
"GNB3","ENSG00000111664","Hypertension",NA,"ENSG00000111664_Hypertension",NA,"ENSG00000111664_Hypertension","ExWAS, EI"
"NOS3","ENSG00000164867","Hypertension",NA,"ENSG00000164867_Hypertension",NA,"ENSG00000164867_Hypertension","ExWAS, EI"
"PNMT","ENSG00000141744","Hypertension",NA,"ENSG00000141744_Hypertension",NA,"ENSG00000141744_Hypertension","ExWAS, EI"
"PTGIS","ENSG00000124212","Hypertension",NA,"ENSG00000124212_Hypertension",NA,"ENSG00000124212_Hypertension","ExWAS, EI"
"PPP1R17","ENSG00000106341","Disorders of lipoid metabolism",NA,"ENSG00000106341_Disorders of lipoid metabolism",NA,"ENSG00000106341_Disorders of lipoid metabolism","ExWAS, EI"
"PCSK9","ENSG00000169174","Disorders of lipoid metabolism",NA,"ENSG00000169174_Disorders of lipoid metabolism",NA,"ENSG00000169174_Disorders of lipoid metabolism","ExWAS, EI"
"STAP1","ENSG00000035720","Disorders of lipoid metabolism",NA,"ENSG00000035720_Disorders of lipoid metabolism",NA,"ENSG00000035720_Disorders of lipoid metabolism","ExWAS, EI"
"EPHX2","ENSG00000120915","Disorders of lipoid metabolism",NA,"ENSG00000120915_Disorders of lipoid metabolism",NA,"ENSG00000120915_Disorders of lipoid metabolism","ExWAS, EI"
"GHR","ENSG00000112964","Disorders of lipoid metabolism",NA,"ENSG00000112964_Disorders of lipoid metabolism",NA,"ENSG00000112964_Disorders of lipoid metabolism","ExWAS, EI"
"APOA2","ENSG00000158874","Disorders of lipoid metabolism",NA,"ENSG00000158874_Disorders of lipoid metabolism",NA,"ENSG00000158874_Disorders of lipoid metabolism","ExWAS, EI"
"APOB","ENSG00000084674","Disorders of lipoid metabolism",NA,"ENSG00000084674_Disorders of lipoid metabolism",NA,"ENSG00000084674_Disorders of lipoid metabolism","ExWAS, EI"
"APOE","ENSG00000130203","Disorders of lipoid metabolism",NA,"ENSG00000130203_Disorders of lipoid metabolism",NA,"ENSG00000130203_Disorders of lipoid metabolism","ExWAS, EI"
"LDLR","ENSG00000130164","Disorders of lipoid metabolism",NA,"ENSG00000130164_Disorders of lipoid metabolism",NA,"ENSG00000130164_Disorders of lipoid metabolism","ExWAS, EI"
"LIPA","ENSG00000107798","Disorders of lipoid metabolism",NA,"ENSG00000107798_Disorders of lipoid metabolism",NA,"ENSG00000107798_Disorders of lipoid metabolism","ExWAS, EI"
"ABCG5","ENSG00000138075","Disorders of lipoid metabolism",NA,"ENSG00000138075_Disorders of lipoid metabolism",NA,"ENSG00000138075_Disorders of lipoid metabolism","ExWAS, EI"
"ABCG8","ENSG00000143921","Disorders of lipoid metabolism",NA,"ENSG00000143921_Disorders of lipoid metabolism",NA,"ENSG00000143921_Disorders of lipoid metabolism","ExWAS, EI"
"LDLRAP1","ENSG00000157978","Disorders of lipoid metabolism",NA,"ENSG00000157978_Disorders of lipoid metabolism",NA,"ENSG00000157978_Disorders of lipoid metabolism","ExWAS, EI"
"SLC16A12","ENSG00000152779","Cataract",NA,"ENSG00000152779_Cataract",NA,"ENSG00000152779_Cataract","ExWAS, EI"
"DNMBP","ENSG00000107554","Cataract",NA,"ENSG00000107554_Cataract",NA,"ENSG00000107554_Cataract","ExWAS, EI"
"EPHA2","ENSG00000142627","Cataract",NA,"ENSG00000142627_Cataract",NA,"ENSG00000142627_Cataract","ExWAS, EI"
"FOXE3","ENSG00000186790","Cataract",NA,"ENSG00000186790_Cataract",NA,"ENSG00000186790_Cataract","ExWAS, EI"
"GJA8","ENSG00000121634","Cataract",NA,"ENSG00000121634_Cataract",NA,"ENSG00000121634_Cataract","ExWAS, EI"
"CRYGD","ENSG00000118231","Cataract",NA,"ENSG00000118231_Cataract",NA,"ENSG00000118231_Cataract","ExWAS, EI"
"CRYBB2","ENSG00000244752","Cataract",NA,"ENSG00000244752_Cataract",NA,"ENSG00000244752_Cataract","ExWAS, EI"
"CRYGC","ENSG00000163254","Cataract",NA,"ENSG00000163254_Cataract",NA,"ENSG00000163254_Cataract","ExWAS, EI"
"CRYGB","ENSG00000182187","Cataract",NA,"ENSG00000182187_Cataract",NA,"ENSG00000182187_Cataract","ExWAS, EI"
"CRYBA2","ENSG00000163499","Cataract",NA,"ENSG00000163499_Cataract",NA,"ENSG00000163499_Cataract","ExWAS, EI"
"FYCO1","ENSG00000163820","Cataract",NA,"ENSG00000163820_Cataract",NA,"ENSG00000163820_Cataract","ExWAS, EI"
"BFSP2","ENSG00000170819","Cataract",NA,"ENSG00000170819_Cataract",NA,"ENSG00000170819_Cataract","ExWAS, EI"
"CRYGS","ENSG00000213139","Cataract",NA,"ENSG00000213139_Cataract",NA,"ENSG00000213139_Cataract","ExWAS, EI"
"WFS1","ENSG00000109501","Cataract",NA,"ENSG00000109501_Cataract",NA,"ENSG00000109501_Cataract","ExWAS, EI"
"GCNT2","ENSG00000111846","Cataract",NA,"ENSG00000111846_Cataract",NA,"ENSG00000111846_Cataract","ExWAS, EI"
"LEMD2","ENSG00000161904","Cataract",NA,"ENSG00000161904_Cataract",NA,"ENSG00000161904_Cataract","ExWAS, EI"
"AGK","ENSG00000006530","Cataract",NA,"ENSG00000006530_Cataract",NA,"ENSG00000006530_Cataract","ExWAS, EI"
"TDRD7","ENSG00000196116","Cataract",NA,"ENSG00000196116_Cataract",NA,"ENSG00000196116_Cataract","ExWAS, EI"
"VIM","ENSG00000026025","Cataract",NA,"ENSG00000026025_Cataract",NA,"ENSG00000026025_Cataract","ExWAS, EI"
"CRYBB1","ENSG00000100122","Cataract",NA,"ENSG00000100122_Cataract",NA,"ENSG00000100122_Cataract","ExWAS, EI"
"GJA3","ENSG00000121743","Cataract",NA,"ENSG00000121743_Cataract",NA,"ENSG00000121743_Cataract","ExWAS, EI"
"MAF","ENSG00000178573","Cataract",NA,"ENSG00000178573_Cataract",NA,"ENSG00000178573_Cataract","ExWAS, EI"
"PITX3","ENSG00000107859","Cataract",NA,"ENSG00000107859_Cataract",NA,"ENSG00000107859_Cataract","ExWAS, EI"
"CHMP4B","ENSG00000101421","Cataract",NA,"ENSG00000101421_Cataract",NA,"ENSG00000101421_Cataract","ExWAS, EI"
"PANK4","ENSG00000157881","Cataract",NA,"ENSG00000157881_Cataract",NA,"ENSG00000157881_Cataract","ExWAS, EI"
"CRYAA","ENSG00000160202","Cataract",NA,"ENSG00000160202_Cataract",NA,"ENSG00000160202_Cataract","ExWAS, EI"
"CRYAB","ENSG00000109846","Cataract",NA,"ENSG00000109846_Cataract",NA,"ENSG00000109846_Cataract","ExWAS, EI"
"CRYBA1","ENSG00000108255","Cataract",NA,"ENSG00000108255_Cataract",NA,"ENSG00000108255_Cataract","ExWAS, EI"
"CRYBA4","ENSG00000196431","Cataract",NA,"ENSG00000196431_Cataract",NA,"ENSG00000196431_Cataract","ExWAS, EI"
"HSF4","ENSG00000102878","Cataract",NA,"ENSG00000102878_Cataract",NA,"ENSG00000102878_Cataract","ExWAS, EI"
"MIP","ENSG00000135517","Cataract",NA,"ENSG00000135517_Cataract",NA,"ENSG00000135517_Cataract","ExWAS, EI"
"CRYBB3","ENSG00000100053","Cataract",NA,"ENSG00000100053_Cataract",NA,"ENSG00000100053_Cataract","ExWAS, EI"
"UNC45B","ENSG00000141161","Cataract",NA,"ENSG00000141161_Cataract",NA,"ENSG00000141161_Cataract","ExWAS, EI"
"BFSP1","ENSG00000125864","Cataract",NA,"ENSG00000125864_Cataract",NA,"ENSG00000125864_Cataract","ExWAS, EI"
"NHS","ENSG00000188158","Cataract",NA,"ENSG00000188158_Cataract",NA,"ENSG00000188158_Cataract","ExWAS, EI"
"SIPA1L3","ENSG00000105738","Cataract",NA,"ENSG00000105738_Cataract",NA,"ENSG00000105738_Cataract","ExWAS, EI"
"LIM2","ENSG00000105370","Cataract",NA,"ENSG00000105370_Cataract",NA,"ENSG00000105370_Cataract","ExWAS, EI"
"LSS","ENSG00000160285","Cataract",NA,"ENSG00000160285_Cataract",NA,"ENSG00000160285_Cataract","ExWAS, EI"
"SLC2A2","ENSG00000163581","Diabetes mellitus",NA,"ENSG00000163581_Diabetes mellitus",NA,"ENSG00000163581_Diabetes mellitus","ExWAS, EI"
"HNF1A","ENSG00000135100","Diabetes mellitus",NA,"ENSG00000135100_Diabetes mellitus",NA,"ENSG00000135100_Diabetes mellitus","ExWAS, EI"
"HNF1B","ENSG00000275410","Diabetes mellitus",NA,"ENSG00000275410_Diabetes mellitus",NA,"ENSG00000275410_Diabetes mellitus","ExWAS, EI"
"TCF7L2","ENSG00000148737","Diabetes mellitus",NA,"ENSG00000148737_Diabetes mellitus",NA,"ENSG00000148737_Diabetes mellitus","ExWAS, EI"
"WFS1","ENSG00000109501","Diabetes mellitus",NA,"ENSG00000109501_Diabetes mellitus",NA,"ENSG00000109501_Diabetes mellitus","ExWAS, EI"
"CAPN10","ENSG00000142330","Diabetes mellitus",NA,"ENSG00000142330_Diabetes mellitus",NA,"ENSG00000142330_Diabetes mellitus","ExWAS, EI"
"SLC30A8","ENSG00000164756","Diabetes mellitus",NA,"ENSG00000164756_Diabetes mellitus",NA,"ENSG00000164756_Diabetes mellitus","ExWAS, EI"
"RETN","ENSG00000104918","Diabetes mellitus",NA,"ENSG00000104918_Diabetes mellitus",NA,"ENSG00000104918_Diabetes mellitus","ExWAS, EI"
"IGF2BP2","ENSG00000073792","Diabetes mellitus",NA,"ENSG00000073792_Diabetes mellitus",NA,"ENSG00000073792_Diabetes mellitus","ExWAS, EI"
"ENPP1","ENSG00000197594","Diabetes mellitus",NA,"ENSG00000197594_Diabetes mellitus",NA,"ENSG00000197594_Diabetes mellitus","ExWAS, EI"
"AKT2","ENSG00000105221","Diabetes mellitus",NA,"ENSG00000105221_Diabetes mellitus",NA,"ENSG00000105221_Diabetes mellitus","ExWAS, EI"
"GCK","ENSG00000106633","Diabetes mellitus",NA,"ENSG00000106633_Diabetes mellitus",NA,"ENSG00000106633_Diabetes mellitus","ExWAS, EI"
"GPD2","ENSG00000115159","Diabetes mellitus",NA,"ENSG00000115159_Diabetes mellitus",NA,"ENSG00000115159_Diabetes mellitus","ExWAS, EI"
"HMGA1","ENSG00000137309","Diabetes mellitus",NA,"ENSG00000137309_Diabetes mellitus",NA,"ENSG00000137309_Diabetes mellitus","ExWAS, EI"
"HNF4A","ENSG00000101076","Diabetes mellitus",NA,"ENSG00000101076_Diabetes mellitus",NA,"ENSG00000101076_Diabetes mellitus","ExWAS, EI"
"ABCC8","ENSG00000006071","Diabetes mellitus",NA,"ENSG00000006071_Diabetes mellitus",NA,"ENSG00000006071_Diabetes mellitus","ExWAS, EI"
"IL6","ENSG00000136244","Diabetes mellitus",NA,"ENSG00000136244_Diabetes mellitus",NA,"ENSG00000136244_Diabetes mellitus","ExWAS, EI"
"PDX1","ENSG00000139515","Diabetes mellitus",NA,"ENSG00000139515_Diabetes mellitus",NA,"ENSG00000139515_Diabetes mellitus","ExWAS, EI"
"IRS1","ENSG00000169047","Diabetes mellitus",NA,"ENSG00000169047_Diabetes mellitus",NA,"ENSG00000169047_Diabetes mellitus","ExWAS, EI"
"IRS2","ENSG00000185950","Diabetes mellitus",NA,"ENSG00000185950_Diabetes mellitus",NA,"ENSG00000185950_Diabetes mellitus","ExWAS, EI"
"KCNJ11","ENSG00000187486","Diabetes mellitus",NA,"ENSG00000187486_Diabetes mellitus",NA,"ENSG00000187486_Diabetes mellitus","ExWAS, EI"
"LIPC","ENSG00000166035","Diabetes mellitus",NA,"ENSG00000166035_Diabetes mellitus",NA,"ENSG00000166035_Diabetes mellitus","ExWAS, EI"
"MAPK8IP1","ENSG00000121653","Diabetes mellitus",NA,"ENSG00000121653_Diabetes mellitus",NA,"ENSG00000121653_Diabetes mellitus","ExWAS, EI"
"MTNR1B","ENSG00000134640","Diabetes mellitus",NA,"ENSG00000134640_Diabetes mellitus",NA,"ENSG00000134640_Diabetes mellitus","ExWAS, EI"
"NEUROD1","ENSG00000162992","Diabetes mellitus",NA,"ENSG00000162992_Diabetes mellitus",NA,"ENSG00000162992_Diabetes mellitus","ExWAS, EI"
"PAX4","ENSG00000106331","Diabetes mellitus",NA,"ENSG00000106331_Diabetes mellitus",NA,"ENSG00000106331_Diabetes mellitus","ExWAS, EI"
"PPARG","ENSG00000132170","Diabetes mellitus",NA,"ENSG00000132170_Diabetes mellitus",NA,"ENSG00000132170_Diabetes mellitus","ExWAS, EI"
"PPP1R3A","ENSG00000154415","Diabetes mellitus",NA,"ENSG00000154415_Diabetes mellitus",NA,"ENSG00000154415_Diabetes mellitus","ExWAS, EI"
"PTPN1","ENSG00000196396","Diabetes mellitus",NA,"ENSG00000196396_Diabetes mellitus",NA,"ENSG00000196396_Diabetes mellitus","ExWAS, EI"
"SDC3","ENSG00000162512","BMI",NA,"ENSG00000162512_BMI",NA,"ENSG00000162512_BMI","ExWAS, EI"
"SIM1","ENSG00000112246","BMI",NA,"ENSG00000112246_BMI",NA,"ENSG00000112246_BMI","ExWAS, EI"
"UCP3","ENSG00000175564","BMI",NA,"ENSG00000175564_BMI",NA,"ENSG00000175564_BMI","ExWAS, EI"
"ARL6","ENSG00000113966","BMI",NA,"ENSG00000113966_BMI",NA,"ENSG00000113966_BMI","ExWAS, EI"
"PHIP","ENSG00000146247","BMI",NA,"ENSG00000146247_BMI",NA,"ENSG00000146247_BMI","ExWAS, EI"
"GHRL","ENSG00000157017","BMI",NA,"ENSG00000157017_BMI",NA,"ENSG00000157017_BMI","ExWAS, EI"
"BBS7","ENSG00000138686","BMI",NA,"ENSG00000138686_BMI",NA,"ENSG00000138686_BMI","ExWAS, EI"
"TTC8","ENSG00000165533","BMI",NA,"ENSG00000165533_BMI",NA,"ENSG00000165533_BMI","ExWAS, EI"
"VPS13B","ENSG00000132549","BMI",NA,"ENSG00000132549_BMI",NA,"ENSG00000132549_BMI","ExWAS, EI"
"CARTPT","ENSG00000164326","BMI",NA,"ENSG00000164326_BMI",NA,"ENSG00000164326_BMI","ExWAS, EI"
"HEATR3","ENSG00000155393","BMI",NA,"ENSG00000155393_BMI",NA,"ENSG00000155393_BMI","ExWAS, EI"
"BBS10","ENSG00000179941","BMI",NA,"ENSG00000179941_BMI",NA,"ENSG00000179941_BMI","ExWAS, EI"
"BBS12","ENSG00000181004","BMI",NA,"ENSG00000181004_BMI",NA,"ENSG00000181004_BMI","ExWAS, EI"
"ADRB2","ENSG00000169252","BMI",NA,"ENSG00000169252_BMI",NA,"ENSG00000169252_BMI","ExWAS, EI"
"ADRB3","ENSG00000188778","BMI",NA,"ENSG00000188778_BMI",NA,"ENSG00000188778_BMI","ExWAS, EI"
"BBS9","ENSG00000122507","BMI",NA,"ENSG00000122507_BMI",NA,"ENSG00000122507_BMI","ExWAS, EI"
"SH2B1","ENSG00000178188","BMI",NA,"ENSG00000178188_BMI",NA,"ENSG00000178188_BMI","ExWAS, EI"
"AGRP","ENSG00000159723","BMI",NA,"ENSG00000159723_BMI",NA,"ENSG00000159723_BMI","ExWAS, EI"
"ENPP1","ENSG00000197594","BMI",NA,"ENSG00000197594_BMI",NA,"ENSG00000197594_BMI","ExWAS, EI"
"MKKS","ENSG00000125863","BMI",NA,"ENSG00000125863_BMI",NA,"ENSG00000125863_BMI","ExWAS, EI"
"MKS1","ENSG00000011143","BMI",NA,"ENSG00000011143_BMI",NA,"ENSG00000011143_BMI","ExWAS, EI"
"MYT1L","ENSG00000186487","BMI",NA,"ENSG00000186487_BMI",NA,"ENSG00000186487_BMI","ExWAS, EI"
"NR0B2","ENSG00000131910","BMI",NA,"ENSG00000131910_BMI",NA,"ENSG00000131910_BMI","ExWAS, EI"
"POMC","ENSG00000115138","BMI",NA,"ENSG00000115138_BMI",NA,"ENSG00000115138_BMI","ExWAS, EI"
