trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000004939_IRNT_biliru,17.7777,0,ENSG00000004939,IRNT_biliru
ENSG00000004939_IRNT_RBC,11.274,1,ENSG00000004939,IRNT_RBC
ENSG00000008710_hypertension,18.7798,0,ENSG00000008710,hypertension
ENSG00000008710_IRNT_RBC,10.2566,0,ENSG00000008710,IRNT_RBC
ENSG00000010327_IRNT_LDL,7.19551,0,ENSG00000010327,IRNT_LDL
ENSG00000010803_IRNT_height,10.7322,0,ENSG00000010803,IRNT_height
ENSG00000012048_Breast_cancer,51.4744,1,ENSG00000012048,Breast_cancer
ENSG00000023839_IRNT_biliru,17.0651,1,ENSG00000023839,IRNT_biliru
ENSG00000036828_IRNT_Ca,34.3873,1,ENSG00000036828,IRNT_Ca
ENSG00000049192_IRNT_height,7.274,0,ENSG00000049192,IRNT_height
ENSG00000049323_IRNT_height,7.54,0,ENSG00000049323,IRNT_height
ENSG00000060566_IRNT_TG,9.66657,0,ENSG00000060566,IRNT_TG
ENSG00000065243_IRNT_height,8.82269,0,ENSG00000065243,IRNT_height
ENSG00000065600_IRNT_height,13.1498,0,ENSG00000065600,IRNT_height
ENSG00000066827_IRNT_height,19.0091,0,ENSG00000066827,IRNT_height
ENSG00000072274_IRNT_RBC,19.5919,1,ENSG00000072274,IRNT_RBC
ENSG00000073792_IRNT_height,13.8997,0,ENSG00000073792,IRNT_height
ENSG00000077044_IRNT_Ca,14.9741,0,ENSG00000077044,IRNT_Ca
ENSG00000081052_IRNT_RBC,8.11327,0,ENSG00000081052,IRNT_RBC
ENSG00000081800_IRNT_height,7.86105,0,ENSG00000081800,IRNT_height
ENSG00000083093_Breast_cancer,29.0295,1,ENSG00000083093,Breast_cancer
ENSG00000084674_IRNT_biliru,25.0309,0,ENSG00000084674,IRNT_biliru
ENSG00000084674_IRNT_height,7.03917,0,ENSG00000084674,IRNT_height
ENSG00000084674_IRNT_LDL,272.996,1,ENSG00000084674,IRNT_LDL
ENSG00000084674_IRNT_TG,131.136,1,ENSG00000084674,IRNT_TG
ENSG00000084734_IRNT_TG,13.2807,0,ENSG00000084734,IRNT_TG
ENSG00000084774_IRNT_RBC,8.4986,0,ENSG00000084774,IRNT_RBC
ENSG00000092439_IRNT_height,7.82562,0,ENSG00000092439,IRNT_height
ENSG00000100354_T2D,8.10525,0,ENSG00000100354,T2D
ENSG00000100888_IRNT_height,6.9377,0,ENSG00000100888,IRNT_height
ENSG00000100991_IRNT_height,10.2123,0,ENSG00000100991,IRNT_height
ENSG00000101191_IRNT_BMI,9.09089,0,ENSG00000101191,IRNT_BMI
ENSG00000101745_IRNT_Ca,9.62842,0,ENSG00000101745,IRNT_Ca
ENSG00000101745_IRNT_RBC,9.69874,0,ENSG00000101745,IRNT_RBC
ENSG00000101745_IRNT_WHR,10.0952,0,ENSG00000101745,IRNT_WHR
ENSG00000102595_IRNT_height,7.66165,0,ENSG00000102595,IRNT_height
ENSG00000103024_Atrial_fibrillation,7.53218,0,ENSG00000103024,Atrial_fibrillation
ENSG00000103196_IRNT_height,10.1254,0,ENSG00000103196,IRNT_height
ENSG00000103335_IRNT_height,19.7457,0,ENSG00000103335,IRNT_height
ENSG00000103657_IRNT_glu,7.93011,0,ENSG00000103657,IRNT_glu
ENSG00000103657_IRNT_height,10.9494,0,ENSG00000103657,IRNT_height
ENSG00000104870_IRNT_Ca,10.3862,0,ENSG00000104870,IRNT_Ca
ENSG00000105472_IRNT_height,10.0381,0,ENSG00000105472,IRNT_height
ENSG00000105610_IRNT_RBC,16.5912,1,ENSG00000105610,IRNT_RBC
ENSG00000106624_IRNT_height,6.91095,0,ENSG00000106624,IRNT_height
ENSG00000106633_IRNT_glu,13.7842,1,ENSG00000106633,IRNT_glu
ENSG00000106633_IRNT_LDL,7.80287,0,ENSG00000106633,IRNT_LDL
ENSG00000106633_T2D,17.1641,1,ENSG00000106633,T2D
ENSG00000106819_IRNT_height,9.12265,0,ENSG00000106819,IRNT_height
ENSG00000107164_IRNT_height,6.92497,0,ENSG00000107164,IRNT_height
ENSG00000107282_IRNT_BMI,6.99608,0,ENSG00000107282,IRNT_BMI
ENSG00000108821_IRNT_height,10.248,0,ENSG00000108821,IRNT_height
ENSG00000108821_ZBMD,11.3515,1,ENSG00000108821,ZBMD
ENSG00000108854_IRNT_height,7.24025,0,ENSG00000108854,IRNT_height
ENSG00000109625_IRNT_height,8.8397,0,ENSG00000109625,IRNT_height
ENSG00000110243_IRNT_TG,71.3051,1,ENSG00000110243,IRNT_TG
ENSG00000110245_IRNT_LDL,17.7972,0,ENSG00000110245,IRNT_LDL
ENSG00000110245_IRNT_TG,777.703,0,ENSG00000110245,IRNT_TG
ENSG00000111700_IRNT_biliru,86.3395,0,ENSG00000111700,IRNT_biliru
ENSG00000112964_IRNT_height,7.81997,1,ENSG00000112964,IRNT_height
ENSG00000112977_IRNT_height,7.99746,0,ENSG00000112977,IRNT_height
ENSG00000113597_IRNT_height,8.72942,0,ENSG00000113597,IRNT_height
ENSG00000114019_IRNT_height,7.58085,0,ENSG00000114019,IRNT_height
ENSG00000116183_IRNT_height,9.50148,0,ENSG00000116183,IRNT_height
ENSG00000118702_IRNT_height,12.7954,0,ENSG00000118702,IRNT_height
ENSG00000119574_IRNT_height,9.55375,0,ENSG00000119574,IRNT_height
ENSG00000119681_IRNT_height,10.9466,1,ENSG00000119681,IRNT_height
ENSG00000121005_IRNT_height,11.3238,0,ENSG00000121005,IRNT_height
ENSG00000121853_IRNT_height,8.72849,0,ENSG00000121853,IRNT_height
ENSG00000122729_IRNT_RBC,15.5055,0,ENSG00000122729,IRNT_RBC
ENSG00000123505_IRNT_height,6.91598,0,ENSG00000123505,IRNT_height
ENSG00000125844_IRNT_LDL,16.6694,0,ENSG00000125844,IRNT_LDL
ENSG00000128655_IRNT_height,7.84603,0,ENSG00000128655,IRNT_height
ENSG00000129173_IRNT_RBC,15.75,0,ENSG00000129173,IRNT_RBC
ENSG00000129933_IRNT_height,7.12008,0,ENSG00000129933,IRNT_height
ENSG00000130164_Hypercholesterolemia,7.37794,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130173_IRNT_TG,30.0216,0,ENSG00000130173,IRNT_TG
ENSG00000130561_IRNT_biliru,7.45345,0,ENSG00000130561,IRNT_biliru
ENSG00000131482_IRNT_TG,12.9287,0,ENSG00000131482,IRNT_TG
ENSG00000132855_IRNT_LDL,30.4655,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,94.4138,1,ENSG00000132855,IRNT_TG
ENSG00000133895_IRNT_Ca,7.60579,0,ENSG00000133895,IRNT_Ca
ENSG00000134013_IRNT_height,9.49998,0,ENSG00000134013,IRNT_height
ENSG00000134538_IRNT_biliru,33.6351,0,ENSG00000134538,IRNT_biliru
ENSG00000135100_T2D,8.09634,1,ENSG00000135100,T2D
ENSG00000135517_Cataract,25.1416,1,ENSG00000135517,Cataract
ENSG00000136068_IRNT_height,12.6371,1,ENSG00000136068,IRNT_height
ENSG00000136859_IRNT_height,8.37827,0,ENSG00000136859,IRNT_height
ENSG00000137198_IRNT_RBC,12.0996,0,ENSG00000137198,IRNT_RBC
ENSG00000137834_IRNT_RBC,8.52645,0,ENSG00000137834,IRNT_RBC
ENSG00000137834_IRNT_SBP,8.64901,0,ENSG00000137834,IRNT_SBP
ENSG00000137834_ZBMD,14.5337,0,ENSG00000137834,ZBMD
ENSG00000138031_IRNT_height,7.49921,0,ENSG00000138031,IRNT_height
ENSG00000138075_IRNT_LDL,9.07406,0,ENSG00000138075,IRNT_LDL
ENSG00000138336_IRNT_height,13.5297,0,ENSG00000138336,IRNT_height
ENSG00000138688_IRNT_BMI,7.50363,0,ENSG00000138688,IRNT_BMI
ENSG00000139618_Breast_cancer,76.0314,1,ENSG00000139618,Breast_cancer
ENSG00000139618_Cancer_of_prostate,10.6917,1,ENSG00000139618,Cancer_of_prostate
ENSG00000140092_IRNT_height,8.22375,0,ENSG00000140092,IRNT_height
ENSG00000140443_IRNT_height,12.8028,0,ENSG00000140443,IRNT_height
ENSG00000140470_IRNT_height,35.6788,1,ENSG00000140470,IRNT_height
ENSG00000140691_IRNT_height,11.8871,0,ENSG00000140691,IRNT_height
ENSG00000140986_Atrial_fibrillation,11.7366,0,ENSG00000140986,Atrial_fibrillation
ENSG00000142303_IRNT_height,19.5929,1,ENSG00000142303,IRNT_height
ENSG00000142453_IRNT_LDL,8.41637,0,ENSG00000142453,IRNT_LDL
ENSG00000143341_IRNT_height,7.01279,0,ENSG00000143341,IRNT_height
ENSG00000143365_IRNT_RBC,8.9876,0,ENSG00000143365,IRNT_RBC
ENSG00000143382_IRNT_height,10.9845,0,ENSG00000143382,IRNT_height
ENSG00000143476_IRNT_height,19.7896,0,ENSG00000143476,IRNT_height
ENSG00000143921_IRNT_LDL,7.10161,0,ENSG00000143921,IRNT_LDL
ENSG00000146197_IRNT_height,19.5033,0,ENSG00000146197,IRNT_height
ENSG00000146830_IRNT_glu,14.1469,0,ENSG00000146830,IRNT_glu
ENSG00000146830_IRNT_LDL,15.0175,0,ENSG00000146830,IRNT_LDL
ENSG00000146830_T2D,8.85396,0,ENSG00000146830,T2D
ENSG00000149177_IRNT_height,7.11432,0,ENSG00000149177,IRNT_height
ENSG00000149257_IRNT_height,17.3504,0,ENSG00000149257,IRNT_height
ENSG00000149311_Breast_cancer,10.9169,1,ENSG00000149311,Breast_cancer
ENSG00000149311_Cancer_of_prostate,9.33686,1,ENSG00000149311,Cancer_of_prostate
ENSG00000152254_IRNT_glu,45.0215,1,ENSG00000152254,IRNT_glu
ENSG00000152270_IRNT_height,11.6555,0,ENSG00000152270,IRNT_height
ENSG00000152270_IRNT_TG,45.4677,0,ENSG00000152270,IRNT_TG
ENSG00000152270_IRNT_WHR,7.97763,0,ENSG00000152270,IRNT_WHR
ENSG00000152595_ZBMD,67.6279,0,ENSG00000152595,ZBMD
ENSG00000154309_IRNT_height,8.56008,0,ENSG00000154309,IRNT_height
ENSG00000155657_Atrial_fibrillation,31.2186,1,ENSG00000155657,Atrial_fibrillation
ENSG00000155657_IRNT_height,9.04669,0,ENSG00000155657,IRNT_height
ENSG00000155657_IRNT_SBP,11.4457,0,ENSG00000155657,IRNT_SBP
ENSG00000156140_IRNT_height,7.03753,0,ENSG00000156140,IRNT_height
ENSG00000156535_ZBMD,12.7431,0,ENSG00000156535,ZBMD
ENSG00000157766_IRNT_height,54.6063,0,ENSG00000157766,IRNT_height
ENSG00000158158_IRNT_Ca,9.78346,0,ENSG00000158158,IRNT_Ca
ENSG00000159899_IRNT_height,30.117,1,ENSG00000159899,IRNT_height
ENSG00000162337_ZBMD,24.1366,1,ENSG00000162337,ZBMD
ENSG00000162733_IRNT_height,11.9116,0,ENSG00000162733,IRNT_height
ENSG00000163501_IRNT_height,12.2,0,ENSG00000163501,IRNT_height
ENSG00000163554_IRNT_biliru,23.5486,0,ENSG00000163554,IRNT_biliru
ENSG00000163631_IRNT_Ca,39.3327,0,ENSG00000163631,IRNT_Ca
ENSG00000163631_IRNT_LDL,11.6631,0,ENSG00000163631,IRNT_LDL
ENSG00000164867_hypertension,7.43069,1,ENSG00000164867,hypertension
ENSG00000164949_IRNT_SBP,8.08237,0,ENSG00000164949,IRNT_SBP
ENSG00000165124_IRNT_DBP,8.05335,0,ENSG00000165124,IRNT_DBP
ENSG00000166147_IRNT_height,8.75575,1,ENSG00000166147,IRNT_height
