"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000002745_ZBMD",9.88426,1,"ENSG00000002745","ebmd"
"ENSG00000004939_IRNT_biliru",19.2712,0,"ENSG00000004939","dbilirubin"
"ENSG00000004939_IRNT_RBC",8.20039,1,"ENSG00000004939","rbc"
"ENSG00000008710_hypertension",10.8883,0,"ENSG00000008710","Hypertension"
"ENSG00000008710_IRNT_RBC",7.33241,0,"ENSG00000008710","rbc"
"ENSG00000009950_IRNT_TG",9.33469,1,"ENSG00000009950","tg"
"ENSG00000010327_IRNT_LDL",11.0431,0,"ENSG00000010327","ldl"
"ENSG00000010803_IRNT_height",42.7546,0,"ENSG00000010803","height"
"ENSG00000011028_IRNT_height",9.15721,0,"ENSG00000011028","height"
"ENSG00000012048_Breast_cancer",48.4957,1,"ENSG00000012048","Breast cancer"
"ENSG00000012232_IRNT_height",9.79832,0,"ENSG00000012232","height"
"ENSG00000015520_IRNT_LDL",20.0557,1,"ENSG00000015520","ldl"
"ENSG00000018280_IRNT_height",8.28368,0,"ENSG00000018280","height"
"ENSG00000023839_IRNT_biliru",20.3974,1,"ENSG00000023839","dbilirubin"
"ENSG00000025434_IRNT_TG",8.26278,0,"ENSG00000025434","tg"
"ENSG00000029534_IRNT_biliru",8.80031,0,"ENSG00000029534","dbilirubin"
"ENSG00000036828_IRNT_Ca",92.0408,1,"ENSG00000036828","calcium"
"ENSG00000049192_IRNT_height",13.1839,0,"ENSG00000049192","height"
"ENSG00000049323_IRNT_height",13.7692,0,"ENSG00000049323","height"
"ENSG00000049540_IRNT_height",18.4916,0,"ENSG00000049540","height"
"ENSG00000060566_IRNT_TG",15.4471,0,"ENSG00000060566","tg"
"ENSG00000060718_IRNT_height",9.64743,0,"ENSG00000060718","height"
"ENSG00000064961_IRNT_height",6.97798,0,"ENSG00000064961","height"
"ENSG00000065600_IRNT_height",13.208,0,"ENSG00000065600","height"
"ENSG00000066827_IRNT_height",57.0973,0,"ENSG00000066827","height"
"ENSG00000066827_IRNT_SBP",6.97813,0,"ENSG00000066827","sbp"
"ENSG00000067113_IRNT_height",9.12688,0,"ENSG00000067113","height"
"ENSG00000068078_IRNT_height",12.2669,1,"ENSG00000068078","height"
"ENSG00000069011_IRNT_height",10.2136,0,"ENSG00000069011","height"
"ENSG00000070182_IRNT_biliru",7.61549,0,"ENSG00000070182","dbilirubin"
"ENSG00000070501_IRNT_height",7.98047,0,"ENSG00000070501","height"
"ENSG00000070915_IRNT_Ca",9.47507,0,"ENSG00000070915","calcium"
"ENSG00000072274_IRNT_RBC",6.90882,1,"ENSG00000072274","rbc"
"ENSG00000073792_IRNT_height",30.5893,0,"ENSG00000073792","height"
"ENSG00000075539_IRNT_height",6.98435,0,"ENSG00000075539","height"
"ENSG00000077044_IRNT_biliru",28.8701,0,"ENSG00000077044","dbilirubin"
