trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000012048_Breast_cancer,10.0757,1,ENSG00000012048,Breast_cancer
ENSG00000015520_IRNT_LDL,26.1082,1,ENSG00000015520,IRNT_LDL
ENSG00000019186_IRNT_Ca,11.1499,1,ENSG00000019186,IRNT_Ca
ENSG00000023839_IRNT_biliru,20.2308,1,ENSG00000023839,IRNT_biliru
ENSG00000036828_IRNT_Ca,97.7815,1,ENSG00000036828,IRNT_Ca
ENSG00000068078_IRNT_height,28.1122,1,ENSG00000068078,IRNT_height
ENSG00000083093_Breast_cancer,13.0262,1,ENSG00000083093,Breast_cancer
ENSG00000084674_Hypercholesterolemia,8.73822,1,ENSG00000084674,Hypercholesterolemia
ENSG00000084674_IRNT_LDL,82.5858,1,ENSG00000084674,IRNT_LDL
ENSG00000084674_IRNT_TG,49.9151,1,ENSG00000084674,IRNT_TG
ENSG00000096968_IRNT_RBC,9.35966,1,ENSG00000096968,IRNT_RBC
ENSG00000101076_T2D,8.72102,1,ENSG00000101076,T2D
ENSG00000102893_IRNT_height,8.89237,1,ENSG00000102893,IRNT_height
ENSG00000105610_IRNT_RBC,8.69741,1,ENSG00000105610,IRNT_RBC
ENSG00000106633_IRNT_glu,42.3721,1,ENSG00000106633,IRNT_glu
ENSG00000106633_T2D,26.9761,1,ENSG00000106633,T2D
ENSG00000110243_IRNT_TG,62.377,1,ENSG00000110243,IRNT_TG
ENSG00000111252_IRNT_RBC,27.3252,1,ENSG00000111252,IRNT_RBC
ENSG00000112964_IRNT_height,8.25205,1,ENSG00000112964,IRNT_height
ENSG00000113161_IRNT_LDL,7.6562,1,ENSG00000113161,IRNT_LDL
ENSG00000125084_ZBMD,21.2833,1,ENSG00000125084,ZBMD
ENSG00000130164_Hypercholesterolemia,32.6568,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130164_IRNT_LDL,78.1653,1,ENSG00000130164,IRNT_LDL
ENSG00000130203_IRNT_LDL,8.95826,1,ENSG00000130203,IRNT_LDL
ENSG00000130427_IRNT_RBC,69.5045,1,ENSG00000130427,IRNT_RBC
ENSG00000132855_IRNT_LDL,33.1777,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,116.432,1,ENSG00000132855,IRNT_TG
ENSG00000134569_ZBMD,7.00173,1,ENSG00000134569,ZBMD
ENSG00000135517_Cataract,19.8762,1,ENSG00000135517,Cataract
ENSG00000135766_IRNT_RBC,7.82563,1,ENSG00000135766,IRNT_RBC
ENSG00000136068_IRNT_height,13.3048,1,ENSG00000136068,IRNT_height
ENSG00000138075_Hypercholesterolemia,7.12449,1,ENSG00000138075,Hypercholesterolemia
ENSG00000139618_Breast_cancer,23.8765,1,ENSG00000139618,Breast_cancer
ENSG00000140470_IRNT_height,49.7829,1,ENSG00000140470,IRNT_height
ENSG00000142303_IRNT_height,25.2185,1,ENSG00000142303,IRNT_height
ENSG00000143627_IRNT_RBC,18.2327,1,ENSG00000143627,IRNT_RBC
ENSG00000145730_T2D,17.3984,1,ENSG00000145730,T2D
ENSG00000149311_Breast_cancer,8.30269,1,ENSG00000149311,Breast_cancer
ENSG00000152254_IRNT_glu,171.762,1,ENSG00000152254,IRNT_glu
ENSG00000154122_T2D,13.0452,1,ENSG00000154122,T2D
ENSG00000159184_Cancer_of_prostate,36.7924,1,ENSG00000159184,Cancer_of_prostate
ENSG00000159899_IRNT_height,55.1771,1,ENSG00000159899,IRNT_height
ENSG00000162337_ZBMD,91.5737,1,ENSG00000162337,ZBMD
ENSG00000162551_ZBMD,15.9395,1,ENSG00000162551,ZBMD
ENSG00000164756_IRNT_glu,8.28264,1,ENSG00000164756,IRNT_glu
ENSG00000164867_IRNT_DBP,6.97673,1,ENSG00000164867,IRNT_DBP
ENSG00000165029_IRNT_LDL,9.48174,1,ENSG00000165029,IRNT_LDL
ENSG00000166603_IRNT_BMI,27.0711,1,ENSG00000166603,IRNT_BMI
ENSG00000168056_IRNT_height,13.8534,1,ENSG00000168056,IRNT_height
ENSG00000169174_Hypercholesterolemia,12.6597,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_LDL,242.791,1,ENSG00000169174,IRNT_LDL
ENSG00000170374_ZBMD,7.4644,1,ENSG00000170374,ZBMD
ENSG00000175445_IRNT_TG,47.1222,1,ENSG00000175445,IRNT_TG
ENSG00000179295_IRNT_height,10.5207,1,ENSG00000179295,IRNT_height
ENSG00000183765_Breast_cancer,30.0204,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,16.6179,1,ENSG00000183765,Cancer_of_prostate
ENSG00000187266_IRNT_RBC,7.61882,1,ENSG00000187266,IRNT_RBC
ENSG00000241635_IRNT_biliru,98.017,1,ENSG00000241635,IRNT_biliru
ENSG00000242366_IRNT_biliru,41.1561,1,ENSG00000242366,IRNT_biliru
ENSG00000259384_IRNT_height,25.5728,1,ENSG00000259384,IRNT_height
