trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000002745_ZBMD,9.88426,1,ENSG00000002745,ZBMD
ENSG00000004939_IRNT_RBC,8.20039,1,ENSG00000004939,IRNT_RBC
ENSG00000009950_IRNT_TG,9.33469,1,ENSG00000009950,IRNT_TG
ENSG00000012048_Breast_cancer,48.4957,1,ENSG00000012048,Breast_cancer
ENSG00000015520_IRNT_LDL,20.0557,1,ENSG00000015520,IRNT_LDL
ENSG00000023839_IRNT_biliru,20.3974,1,ENSG00000023839,IRNT_biliru
ENSG00000036828_IRNT_Ca,92.0408,1,ENSG00000036828,IRNT_Ca
ENSG00000068078_IRNT_height,12.2669,1,ENSG00000068078,IRNT_height
ENSG00000072274_IRNT_RBC,6.90882,1,ENSG00000072274,IRNT_RBC
ENSG00000083093_Breast_cancer,26.9524,1,ENSG00000083093,Breast_cancer
ENSG00000084674_IRNT_LDL,242.837,1,ENSG00000084674,IRNT_LDL
ENSG00000084674_IRNT_TG,120.556,1,ENSG00000084674,IRNT_TG
ENSG00000101076_T2D,7.60307,1,ENSG00000101076,T2D
ENSG00000102893_IRNT_height,10.3168,1,ENSG00000102893,IRNT_height
ENSG00000105610_IRNT_RBC,11.0389,1,ENSG00000105610,IRNT_RBC
ENSG00000106633_IRNT_glu,68.5748,1,ENSG00000106633,IRNT_glu
ENSG00000106633_T2D,34.5154,1,ENSG00000106633,T2D
ENSG00000108821_ZBMD,7.6158,1,ENSG00000108821,ZBMD
ENSG00000110243_IRNT_TG,68.6453,1,ENSG00000110243,IRNT_TG
ENSG00000111252_IRNT_RBC,32.1701,1,ENSG00000111252,IRNT_RBC
ENSG00000112964_IRNT_height,10.5553,1,ENSG00000112964,IRNT_height
ENSG00000119681_IRNT_height,9.05924,1,ENSG00000119681,IRNT_height
ENSG00000125084_ZBMD,24.5821,1,ENSG00000125084,ZBMD
ENSG00000130164_Hypercholesterolemia,40.2939,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130164_IRNT_LDL,62.1975,1,ENSG00000130164,IRNT_LDL
ENSG00000132855_IRNT_LDL,41.3341,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,135.234,1,ENSG00000132855,IRNT_TG
ENSG00000135100_T2D,9.46647,1,ENSG00000135100,T2D
ENSG00000135517_Cataract,31.9485,1,ENSG00000135517,Cataract
ENSG00000135766_IRNT_RBC,7.3662,1,ENSG00000135766,IRNT_RBC
ENSG00000136068_IRNT_height,19.1462,1,ENSG00000136068,IRNT_height
ENSG00000139618_Breast_cancer,52.1015,1,ENSG00000139618,Breast_cancer
ENSG00000140470_IRNT_height,59.812,1,ENSG00000140470,IRNT_height
ENSG00000142303_IRNT_height,20.9804,1,ENSG00000142303,IRNT_height
ENSG00000143627_IRNT_RBC,15.809,1,ENSG00000143627,IRNT_RBC
ENSG00000145730_T2D,17.6636,1,ENSG00000145730,T2D
ENSG00000149311_Breast_cancer,10.1447,1,ENSG00000149311,Breast_cancer
ENSG00000152254_IRNT_glu,68.2856,1,ENSG00000152254,IRNT_glu
ENSG00000159184_Cancer_of_prostate,36.7571,1,ENSG00000159184,Cancer_of_prostate
ENSG00000159899_IRNT_height,80.5609,1,ENSG00000159899,IRNT_height
ENSG00000162337_ZBMD,33.2508,1,ENSG00000162337,ZBMD
ENSG00000162551_ZBMD,13.125,1,ENSG00000162551,ZBMD
ENSG00000165029_IRNT_LDL,10.7474,1,ENSG00000165029,IRNT_LDL
ENSG00000166147_IRNT_height,11.9611,1,ENSG00000166147,IRNT_height
ENSG00000166603_IRNT_BMI,33.5218,1,ENSG00000166603,IRNT_BMI
ENSG00000166603_IRNT_WHR,9.33197,1,ENSG00000166603,IRNT_WHR
ENSG00000167325_IRNT_RBC,9.31923,1,ENSG00000167325,IRNT_RBC
ENSG00000169174_Hypercholesterolemia,14.0889,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_LDL,218.671,1,ENSG00000169174,IRNT_LDL
ENSG00000169418_hypertension,7.13037,1,ENSG00000169418,hypertension
ENSG00000170374_ZBMD,9.36789,1,ENSG00000170374,ZBMD
ENSG00000170819_Cataract,13.2989,1,ENSG00000170819,Cataract
ENSG00000175445_IRNT_TG,72.0716,1,ENSG00000175445,IRNT_TG
ENSG00000179295_IRNT_height,27.7107,1,ENSG00000179295,IRNT_height
ENSG00000183765_Breast_cancer,29.9213,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,12.0837,1,ENSG00000183765,Cancer_of_prostate
ENSG00000187266_IRNT_RBC,8.62847,1,ENSG00000187266,IRNT_RBC
ENSG00000241635_IRNT_biliru,62.1646,1,ENSG00000241635,IRNT_biliru
ENSG00000242366_IRNT_biliru,31.3688,1,ENSG00000242366,IRNT_biliru
ENSG00000259384_IRNT_height,13.2781,1,ENSG00000259384,IRNT_height
