"","X","all.locus.prob","all.locus.y","names.genes","all.trait","locus.chrm","locus.start","locus.end","locus.name"
"1",1,0.842387855052948,0,"A1CF","calcium","chr10",52323772,52823773,"L260"
"2",2,0.736786067485809,0,"A4GALT","calcium","chr22",42866277,43366278,"L435"
"3",3,0.699382185935974,0,"AADAT","calcium","chr4",170660322,171160323,"L148"
"4",4,0.691065490245819,0,"ABCA10","calcium","chr17",66831278,67674509,"L394|L395"
"5",5,0.537783443927765,0,"ABCA5","calcium","chr17",66831278,67674509,"L394|L395"
"6",6,0.843546390533447,0,"ABCA6","calcium","chr17",66831278,67674509,"L394|L395"
"7",7,0.424096047878265,0,"ABCA8","calcium","chr17",66831278,67674509,"L394|L395"
"8",8,0.596786856651306,0,"ABCA9","calcium","chr17",66831278,67674509,"L394|L395"
"9",9,0.258496254682541,0,"ABCB9","calcium","chr12",122565885,124397831,"L320|L321|L322|L323|L324|L325|L326|L327"
"10",10,0.736331164836884,0,"ABCC1","calcium","chr16",16009596,16509597,"L364"
"11",11,0.387340664863586,0,"ABCC12","calcium","chr16",47734273,48234274,"L366"
"12",12,0.783641815185547,0,"ABCC6","calcium","chr16",16009596,16509597,"L364"
"13",13,0.335391014814377,0,"ABCG4","calcium","chr11",118556220,119416048,"L291|L292|L293"
"14",14,0.125014409422874,0,"ABHD1","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
"15",15,0.745992839336395,0,"ABRACL","calcium","chr6",139081253,139581254,"L196"
"16",16,0.818271934986115,0,"ABRAXAS2","calcium","chr10",126282194,126782195,"L272"
"17",17,0.412656754255295,0,"AC098484.3","calcium","chr1",43186051,43686052,"L10"
"18",18,0.659312903881073,0,"AC112128.1","calcium","chr3",112697781,113550184,"L106|L107"
"19",19,0.23322793841362,0,"ACBD3","calcium","chr1",226307878,227166079,"L44|L45"
"20",20,0.281427711248398,0,"ACP5","calcium","chr19",11191374,11691375,"L403"
"21",21,0.612995505332947,0,"ACSBG1","calcium","chr15",78108837,78608838,"L362"
"22",22,0.299141526222229,0,"ACSS2","calcium","chr20",33072006,33572007,"L422"
"23",23,0.276768147945404,0,"ACTN4","calcium","chr19",37905978,39540958,"L412|L413|L414|L415|L416"
"24",24,0.114711478352547,0,"ACTR1B","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"25",25,0.178278803825378,0,"ACTR3","calcium","chr2",113759329,114726473,"L79|L80"
"26",26,0.405126452445984,0,"ADAD2","calcium","chr16",83730529,84230530,"L371"
"27",27,0.128122374415398,0,"ADAMTSL4","calcium","chr1",149746474,151190626,"L27|L28|L29|L30"
"28",28,0.325859278440475,0,"ADCY4","calcium","chr14",24621530,25121531,"L335"
"29",29,0.233618900179863,0,"ADGRB1","calcium","chr8",143563988,144063989,"L233"
"30",30,0.400430560112,0,"ADGRL1","calcium","chr19",13922896,14422897,"L405"
"31",31,0.194352149963379,0,"ADIPOQ","calcium","chr3",186088382,186872851,"L128|L129"
"32",32,0.226241528987885,0,"ADM5","calcium","chr19",49745340,50614485,"L417|L418|L419"
"33",33,0.584933221340179,0,"ADORA2A","calcium","chr22",24745134,25245135,"L429"
"34",34,0.364822894334793,0,"ADORA3","calcium","chr1",111996541,112496542,"L25"
"35",35,0.0857317745685577,0,"ADRA2B","calcium","chr2",95296118,98791875,"L67|L68|L69|L70|L71|L72|L73|L74|L75|L76|L77"
"36",36,0.474205940961838,0,"ADRB3","calcium","chr8",37797331,38548648,"L226|L227"
"37",37,0.337029546499252,0,"AES","calcium","chr19",2733175,3626043,"L400|L401|L402"
"38",38,0.591327786445618,0,"AGBL4","calcium","chr1",49036183,53037888,"L11|L12|L13|L14|L15|L16|L17|L18|L19|L20"
"39",39,0.122384190559387,0,"AGBL5","calcium","chr2",26896032,28693051,"L50|L51|L52|L53|L54|L55"
