"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000004939_IRNT_biliru",17.7777,0,"ENSG00000004939","dbilirubin"
"ENSG00000004939_IRNT_RBC",11.274,1,"ENSG00000004939","rbc"
"ENSG00000008710_hypertension",18.7798,0,"ENSG00000008710","Hypertension"
"ENSG00000008710_IRNT_RBC",10.2566,0,"ENSG00000008710","rbc"
"ENSG00000010327_IRNT_LDL",7.19551,0,"ENSG00000010327","ldl"
"ENSG00000010803_IRNT_height",10.7322,0,"ENSG00000010803","height"
"ENSG00000012048_Breast_cancer",51.4744,1,"ENSG00000012048","Breast cancer"
"ENSG00000023839_IRNT_biliru",17.0651,1,"ENSG00000023839","dbilirubin"
"ENSG00000036828_IRNT_Ca",34.3873,1,"ENSG00000036828","calcium"
"ENSG00000049192_IRNT_height",7.274,0,"ENSG00000049192","height"
"ENSG00000049323_IRNT_height",7.54,0,"ENSG00000049323","height"
"ENSG00000060566_IRNT_TG",9.66657,0,"ENSG00000060566","tg"
"ENSG00000065243_IRNT_height",8.82269,0,"ENSG00000065243","height"
"ENSG00000065600_IRNT_height",13.1498,0,"ENSG00000065600","height"
"ENSG00000066827_IRNT_height",19.0091,0,"ENSG00000066827","height"
"ENSG00000072274_IRNT_RBC",19.5919,1,"ENSG00000072274","rbc"
"ENSG00000073792_IRNT_height",13.8997,0,"ENSG00000073792","height"
"ENSG00000077044_IRNT_Ca",14.9741,0,"ENSG00000077044","calcium"
"ENSG00000081052_IRNT_RBC",8.11327,0,"ENSG00000081052","rbc"
"ENSG00000081800_IRNT_height",7.86105,0,"ENSG00000081800","height"
"ENSG00000083093_Breast_cancer",29.0295,1,"ENSG00000083093","Breast cancer"
"ENSG00000084674_IRNT_biliru",25.0309,0,"ENSG00000084674","dbilirubin"
"ENSG00000084674_IRNT_height",7.03917,0,"ENSG00000084674","height"
"ENSG00000084674_IRNT_LDL",272.996,1,"ENSG00000084674","ldl"
"ENSG00000084674_IRNT_TG",131.136,1,"ENSG00000084674","tg"
"ENSG00000084734_IRNT_TG",13.2807,0,"ENSG00000084734","tg"
"ENSG00000084774_IRNT_RBC",8.4986,0,"ENSG00000084774","rbc"
"ENSG00000092439_IRNT_height",7.82562,0,"ENSG00000092439","height"
"ENSG00000100354_T2D",8.10525,0,"ENSG00000100354","Diabetes mellitus"
"ENSG00000100888_IRNT_height",6.9377,0,"ENSG00000100888","height"
"ENSG00000100991_IRNT_height",10.2123,0,"ENSG00000100991","height"
"ENSG00000101191_IRNT_BMI",9.09089,0,"ENSG00000101191","BMI"
"ENSG00000101745_IRNT_Ca",9.62842,0,"ENSG00000101745","calcium"
"ENSG00000101745_IRNT_RBC",9.69874,0,"ENSG00000101745","rbc"
"ENSG00000101745_IRNT_WHR",10.0952,0,"ENSG00000101745","WHR"
"ENSG00000102595_IRNT_height",7.66165,0,"ENSG00000102595","height"
"ENSG00000103024_Atrial_fibrillation",7.53218,0,"ENSG00000103024","Cardiac dysrhythmias"
"ENSG00000103196_IRNT_height",10.1254,0,"ENSG00000103196","height"
"ENSG00000103335_IRNT_height",19.7457,0,"ENSG00000103335","height"
"ENSG00000103657_IRNT_glu",7.93011,0,"ENSG00000103657","glucose"
"ENSG00000103657_IRNT_height",10.9494,0,"ENSG00000103657","height"
"ENSG00000104870_IRNT_Ca",10.3862,0,"ENSG00000104870","calcium"
"ENSG00000105472_IRNT_height",10.0381,0,"ENSG00000105472","height"
"ENSG00000105610_IRNT_RBC",16.5912,1,"ENSG00000105610","rbc"
"ENSG00000106624_IRNT_height",6.91095,0,"ENSG00000106624","height"
"ENSG00000106633_IRNT_glu",13.7842,1,"ENSG00000106633","glucose"
"ENSG00000106633_IRNT_LDL",7.80287,0,"ENSG00000106633","ldl"
"ENSG00000106633_T2D",17.1641,1,"ENSG00000106633","Diabetes mellitus"
"ENSG00000106819_IRNT_height",9.12265,0,"ENSG00000106819","height"
"ENSG00000107164_IRNT_height",6.92497,0,"ENSG00000107164","height"
"ENSG00000107282_IRNT_BMI",6.99608,0,"ENSG00000107282","BMI"
"ENSG00000108821_IRNT_height",10.248,0,"ENSG00000108821","height"
"ENSG00000108821_ZBMD",11.3515,1,"ENSG00000108821","ebmd"
"ENSG00000108854_IRNT_height",7.24025,0,"ENSG00000108854","height"
"ENSG00000109625_IRNT_height",8.8397,0,"ENSG00000109625","height"
"ENSG00000110243_IRNT_TG",71.3051,1,"ENSG00000110243","tg"
"ENSG00000110245_IRNT_LDL",17.7972,0,"ENSG00000110245","ldl"
"ENSG00000110245_IRNT_TG",777.703,0,"ENSG00000110245","tg"
"ENSG00000111700_IRNT_biliru",86.3395,0,"ENSG00000111700","dbilirubin"
"ENSG00000112964_IRNT_height",7.81997,1,"ENSG00000112964","height"
"ENSG00000112977_IRNT_height",7.99746,0,"ENSG00000112977","height"
"ENSG00000113597_IRNT_height",8.72942,0,"ENSG00000113597","height"
"ENSG00000114019_IRNT_height",7.58085,0,"ENSG00000114019","height"
"ENSG00000116183_IRNT_height",9.50148,0,"ENSG00000116183","height"
"ENSG00000118702_IRNT_height",12.7954,0,"ENSG00000118702","height"
"ENSG00000119574_IRNT_height",9.55375,0,"ENSG00000119574","height"
